# #xSet,ySet,RFQPAH_R,RFBPAH_R,TO1IN,TO3IN,D7TOR
161.0,219.0,161.004638671875,219.95849609375,23.681957414046018,20.0593585779834,19.540882435145782
165.0,219.0,165.00244140625,219.921875,23.972169831954343,19.60109372942383,19.106505598797913
169.0,219.0,169.000244140625,219.9462890625,23.678836850412598,18.074597716635743,17.55429186891147
173.0,219.0,173.004150390625,219.95849609375,23.869191232051392,17.17387025567383,16.64604939291138
177.0,219.0,177.001953125,219.83642578125,23.45103570517273,15.16382581647461,14.650346025914521
181.0,219.0,181.005859375,219.93408203125,23.844226722984008,13.548837281206055,13.016117089165192
185.0,219.0,185.003662109375,219.90966796875,23.77245375941528,11.681012967421875,11.26645934275699
125.0,221.0,125.0,221.923828125,24.062666177323607,20.858951727539065,20.412673708095703
129.0,221.0,129.00390625,221.875,24.40592817700012,21.449955359819338,20.99285535664426
133.0,221.0,133.001708984375,221.875,24.181247595393675,21.408869545810546,20.986780156135897
137.0,221.0,137.005615234375,221.875,23.663234032245484,21.209761370229494,20.844012944189394
141.0,221.0,141.00341796875,221.8994140625,23.959687577420652,21.547929223994142,21.193336973420198
145.0,221.0,145.001220703125,221.8994140625,23.962808141054076,21.661705324326174,21.266239379520538
149.0,221.0,149.005126953125,221.9482421875,23.99089321375488,21.718593374492187,21.314840983587434
153.0,221.0,153.0029296875,221.91162109375,23.619546141377562,21.276130762089846,20.86527614596866
157.0,221.0,157.000732421875,221.83837890625,23.95656701378723,21.206600922998046,20.792373739868317
161.0,221.0,161.004638671875,221.8505859375,23.828623904816894,20.71357115489258,20.266868895895023
165.0,221.0,165.00244140625,221.8505859375,23.90039686838562,19.99931008058594,19.53176963438324
169.0,221.0,169.000244140625,221.875,23.89103517748535,19.139668433632814,18.52936155050354
173.0,221.0,173.004150390625,221.88720703125,23.688198541312865,17.625814209770507,17.101689431038515
177.0,221.0,177.001953125,221.81396484375,23.853588413884275,16.437486050747072,15.929175732924683
181.0,221.0,181.005859375,221.86279296875,23.70380135947998,14.952075851967773,14.455939609646943
185.0,221.0,185.003662109375,221.8994140625,23.828623904816894,13.163262718969728,12.654642658917664
125.0,223.0,125.0,223.779296875,24.224935486261597,20.757817416132813,20.236492893353212
129.0,223.0,129.00390625,223.76708984375,24.05330448642334,20.960086038945313,20.525064917500398
133.0,223.0,133.001708984375,223.8037109375,24.181247595393675,21.380425520727538,20.895652148510468
137.0,223.0,137.005615234375,223.8525390625,24.209332668094483,21.563731460151367,21.178148972149295
141.0,223.0,141.00341796875,223.86474609375,23.95344645015381,21.55425011845703,21.120434567319855
145.0,223.0,145.001220703125,223.88916015625,23.869191232051392,21.62377995754883,21.202449774182742
149.0,223.0,149.005126953125,223.828125,24.050183922789916,21.781802319121095,21.457608195533936
153.0,223.0,153.0029296875,223.8525390625,23.856708977517698,21.57005235461426,21.15992337062421
157.0,223.0,157.000732421875,223.76708984375,23.753730377614744,21.367783731801758,21.026268959440248
